sgRNA	Gene	M07e-J4-1	M07e-J4-2	M07e-J4-3	M07e-J11-1	M07e-J11-2	M07e-J11-3	M07e-J18-1	M07e-J18-2	M07e-J18-3	M07e-J25-1	M07e-J25-2	M07e-J25-3
CHD2.1972	CHD2	710.909627974212	554.4589681288695	688.3659863922702	345.16953301206235	574.8438579090962	556.1382823766363	781.803867587785	439.3712921757455	430.3763396522674	261.4147096515105	240.95917054668558	275.25638095086936
SIRT1.1818	SIRT1	731.3110080264521	807.6176287266318	577.4808753466255	1444.3038524191363	1159.8688740645387	1257.7778595611137	1544.4015707984136	1043.0179042747668	1505.6591209853025	1704.288107078679	1565.0093924320324	1782.7651649957468
BAZ1B.3097	BAZ1B	1563.059579387009	1660.886819200401	1765.3787976375925	2547.4147793493908	2242.9874782720044	1821.9995472048522	2282.144237756251	1728.8021763354259	2401.9474613620428	2315.3874283419505	2217.6411797771234	2314.0739933427735
HPRT1.718	HPRT1	1307.2576602704605	1000.1842164600116	1029.804298621929	1332.958841770084	1198.244008993075	1218.9775142790227	1414.477517658825	1044.3216766551102	1476.7041378894312	1212.0136538388215	1304.4467639425657	1085.0222458412175
ATN1.100	ATN1	2291.2319135592707	1973.8075242671432	2659.046920322294	1887.2979305014376	1770.738368845322	2389.454596955432	2382.6941571425414	1507.160871677038	2193.998037309877	2087.9226809828438	2005.2703853969936	2256.462192678638
CHEK1.131	CHEK1	1128.353250581586	1094.8074535358965	1496.4000629229097	907.4618367897767	1221.7389895615668	961.9252267851705	814.5673244664639	904.8180319583602	696.2357298961757	568.096035692893	814.3603153730357	433.15539017849983
IKZF2.2071	IKZF2	1021.6383395390993	1192.7508041933916	1191.1915394507387	1410.1050277197846	969.5595314597562	1139.7601426614206	895.9110794755976	932.1972519455728	1251.644951098796	1023.0255304111062	940.1491705058818	1000.7383152399823
SMEK1.2121	SMEK1	1547.3662101160553	1420.1785845336763	1666.5702828444437	2564.9118524513847	2551.554889738195	2260.1201126817955	3577.995446026756	3226.83664135006	3170.5706489978966	5278.08747105907	4609.26304879643	5607.54859797585
PAXIP1.1420	PAXIP1	212.64515362142544	173.47593463912236	217.37873254492743	143.953192339132	172.2965241689389	139.03457059415908	175.11502814466283	203.3884913335795	111.87152559768418	207.09476998366418	37.57329439033063	49.07671908426352
ASXL1.439	ASXL1	523.3738651863129	649.9122336001569	792.6638631183718	857.3565819977032	800.3956713666162	821.2739751375909	772.7656725867702	999.9934157234326	969.9919337116852	1104.5054399128758	833.146962568201	1060.4838862990857
NCOR2.2166	NCOR2	799.5771643551016	945.4023423634467	612.6127917175228	358.6899985908758	276.457604689252	497.9377644535	239.51216752689368	202.08471895323606	338.2468479835863	18.10664655594878	114.35350466622367	168.56786120247037
KEAP1.1990	KEAP1	374.2868571122507	401.73374337480965	398.527676332367	466.05840171674777	664.1247840693645	368.60328017986365	342.32163566343763	499.3448216715446	419.8472548901324	417.58453619656876	483.5519625886029	343.53703358984467
EXOSC3.414	EXOSC3	1394.3558597242547	1643.4562228969485	1473.3447428045083	520.1402640320017	715.0305753010964	934.4416488770228	392.03170816901934	610.1654740007385	962.095120140084	230.85974358834696	466.39893688866937	375.5435895143644
PARP6.1286	PARP6	780.7451212299569	723.7847607909794	714.7149236704432	458.10518667038684	287.4219289545481	312.0194433101477	418.0165187969371	127.76969327365893	321.13708524511696	285.1796832561933	155.19404204701783	346.73768918229666
PHF8.188	PHF8	550.0525929469345	415.01419770124966	601.6340678516174	271.9999545855422	256.8784542155089	514.1045749877045	116.36676063806627	328.5506398465515	367.2018310794575	226.33308194935978	334.07559577489627	184.57113916473023
RSF1.2602	RSF1	1707.4385766797852	1880.8443439820635	1577.6426195306099	1803.7891725146483	2031.5326531555795	1653.864717649125	1691.2722395649048	1687.0814601644352	1595.1563414634497	965.3105945140194	1102.6945092814426	1115.9619165682532
SMARCB1.488	SMARCB1	1952.255137306666	1606.1049451038361	1745.6170946789628	786.5729680850914	961.7278712702589	1157.5436342490455	639.452296321801	657.101279693103	637.0096281091664	505.85443815681907	438.6273714697294	355.2727707621686
KAT2B.2782	KAT2B	685.015568677138	686.4334829978669	780.5872668658758	824.7484003076236	798.046173309767	1126.8266942340567	536.642828185257	823.9841443770657	1168.728408596983	1202.9603305608473	937.6987382630341	1099.9586386059934
NEK6.1387	NEK6	376.64086250289375	234.8980358989073	146.01702741654216	314.94731583589095	315.6159056367381	118.01771689969318	427.05471379795193	594.5202054366171	361.93728869839	355.34293866049484	526.8429322122447	206.975728311894
